grib_message,start_byte,end_byte,range,reference_time,valid_time,variable,level,forecast_time,?,??,???,search_this
97,92340695,93465068.0,92340695-93465068,2026-05-17 06:00:00,2026-05-18 06:00:00,APCP,surface,23-24 hour acc fcst,,,,:APCP:surface:23-24 hour acc fcst:
98,93465069,94708379.0,93465069-94708379,2026-05-17 06:00:00,2026-05-18 06:00:00,APCP,surface,18-24 hour acc fcst,,,,:APCP:surface:18-24 hour acc fcst:
99,94708380,96226249.0,94708380-96226249,2026-05-17 06:00:00,2026-05-18 06:00:00,RH,2 m above ground,24 hour fcst,,,,:RH:2 m above ground:24 hour fcst:
100,96226250,97966174.0,96226250-97966174,2026-05-17 06:00:00,2026-05-18 06:00:00,TCDC,surface,24 hour fcst,,,,:TCDC:surface:24 hour fcst:
101,97966175,99701239.0,97966175-99701239,2026-05-17 06:00:00,2026-05-18 06:00:00,TCDC,surface,24 hour fcst,ens std dev,,,:TCDC:surface:24 hour fcst:ens std dev:
102,99701240,100666775.0,99701240-100666775,2026-05-17 06:00:00,2026-05-18 06:00:00,SNOWLR,surface,24 hour fcst,1% level,,,:SNOWLR:surface:24 hour fcst:1% level:
103,100666776,101638722.0,100666776-101638722,2026-05-17 06:00:00,2026-05-18 06:00:00,SNOWLR,surface,24 hour fcst,5% level,,,:SNOWLR:surface:24 hour fcst:5% level:
104,101638723,102619716.0,101638723-102619716,2026-05-17 06:00:00,2026-05-18 06:00:00,SNOWLR,surface,24 hour fcst,10% level,,,:SNOWLR:surface:24 hour fcst:10% level:
105,102619717,103627498.0,102619717-103627498,2026-05-17 06:00:00,2026-05-18 06:00:00,SNOWLR,surface,24 hour fcst,20% level,,,:SNOWLR:surface:24 hour fcst:20% level:
106,103627499,104640287.0,103627499-104640287,2026-05-17 06:00:00,2026-05-18 06:00:00,SNOWLR,surface,24 hour fcst,25% level,,,:SNOWLR:surface:24 hour fcst:25% level:
107,104640288,105650004.0,104640288-105650004,2026-05-17 06:00:00,2026-05-18 06:00:00,SNOWLR,surface,24 hour fcst,30% level,,,:SNOWLR:surface:24 hour fcst:30% level:
108,105650005,106669892.0,105650005-106669892,2026-05-17 06:00:00,2026-05-18 06:00:00,SNOWLR,surface,24 hour fcst,40% level,,,:SNOWLR:surface:24 hour fcst:40% level:
109,106669893,107699812.0,106669893-107699812,2026-05-17 06:00:00,2026-05-18 06:00:00,SNOWLR,surface,24 hour fcst,50% level,,,:SNOWLR:surface:24 hour fcst:50% level:
110,107699813,108739118.0,107699813-108739118,2026-05-17 06:00:00,2026-05-18 06:00:00,SNOWLR,surface,24 hour fcst,60% level,,,:SNOWLR:surface:24 hour fcst:60% level:
111,108739119,109794071.0,108739119-109794071,2026-05-17 06:00:00,2026-05-18 06:00:00,SNOWLR,surface,24 hour fcst,70% level,,,:SNOWLR:surface:24 hour fcst:70% level:
112,109794072,110858949.0,109794072-110858949,2026-05-17 06:00:00,2026-05-18 06:00:00,SNOWLR,surface,24 hour fcst,75% level,,,:SNOWLR:surface:24 hour fcst:75% level:
113,110858950,111931310.0,110858950-111931310,2026-05-17 06:00:00,2026-05-18 06:00:00,SNOWLR,surface,24 hour fcst,80% level,,,:SNOWLR:surface:24 hour fcst:80% level:
114,111931311,113033373.0,111931311-113033373,2026-05-17 06:00:00,2026-05-18 06:00:00,SNOWLR,surface,24 hour fcst,90% level,,,:SNOWLR:surface:24 hour fcst:90% level:
